log_id,timestamp,user,source_ip,event_type,status,bytes_transferred,label
LOG100000,2026-01-01 00:36:12,user_27,10.0.1.16,LOGIN,FAILED,2121,1
LOG100001,2026-01-01 00:36:43,user_31,10.0.1.14,FILE_ACCESS,SUCCESS,2079,1
LOG100002,2026-01-01 00:40:53,user_26,10.0.1.18,PRIVILEGE_CHANGE,SUCCESS,2845,1
LOG100003,2026-01-01 01:39:32,user_12,10.0.1.3,CONFIG_CHANGE,SUCCESS,1522,1
LOG100004,2026-01-01 01:56:44,user_29,10.0.1.13,FILE_ACCESS,SUCCESS,80323,1
LOG100005,2026-01-01 02:35:59,user_22,203.0.113.9,API_CALL,SUCCESS,892,1
LOG100006,2026-01-01 02:52:46,user_36,10.0.1.8,LOGIN,FAILED,2771,1
LOG100007,2026-01-01 04:43:11,user_24,203.0.113.12,API_CALL,SUCCESS,2841,1
LOG100008,2026-01-01 04:45:26,user_6,10.0.1.7,PRIVILEGE_CHANGE,SUCCESS,725,1
LOG100009,2026-01-01 08:27:10,user_33,10.0.1.10,PRIVILEGE_CHANGE,SUCCESS,2007,0
LOG100010,2026-01-01 08:30:58,user_1,10.0.1.27,PRIVILEGE_CHANGE,SUCCESS,1856,0
LOG100011,2026-01-01 08:46:27,svc_deploy,10.0.1.24,LOGOUT,SUCCESS,1971,0
LOG100012,2026-01-01 09:01:16,user_40,10.0.1.12,PRIVILEGE_CHANGE,SUCCESS,3283,0
LOG100013,2026-01-01 09:13:22,user_25,10.0.1.25,DB_QUERY,SUCCESS,1153,0
LOG100014,2026-01-01 09:21:47,user_2,10.0.1.4,DB_QUERY,SUCCESS,1825,0
LOG100015,2026-01-01 09:33:43,user_26,10.0.1.16,DB_QUERY,SUCCESS,2678,0
LOG100016,2026-01-01 09:54:45,user_29,10.0.1.9,LOGOUT,FAILED,3123,0
LOG100017,2026-01-01 10:12:53,user_1,10.0.1.19,DB_QUERY,FAILED,1150,0
LOG100018,2026-01-01 10:43:37,user_26,10.0.1.18,DB_QUERY,SUCCESS,941,0
LOG100019,2026-01-01 10:44:19,user_23,10.0.1.16,FILE_ACCESS,SUCCESS,1521,0
LOG100020,2026-01-01 10:57:07,user_27,10.0.1.3,API_CALL,SUCCESS,1790,0
LOG100021,2026-01-01 11:06:24,user_4,10.0.1.11,FILE_WRITE,SUCCESS,2366,0
LOG100022,2026-01-01 11:54:24,user_8,10.0.1.6,DB_QUERY,FAILED,2673,0
LOG100023,2026-01-01 12:30:54,svc_backup,10.0.1.13,LOGOUT,SUCCESS,1395,0
LOG100024,2026-01-01 12:49:42,user_29,10.0.1.21,API_CALL,SUCCESS,2732,0
LOG100025,2026-01-01 12:52:51,user_30,10.0.1.7,FILE_ACCESS,SUCCESS,1729,0
LOG100026,2026-01-01 12:53:39,user_26,10.0.1.16,LOGIN,SUCCESS,2176,0
LOG100027,2026-01-01 13:05:21,user_18,10.0.1.24,DB_QUERY,SUCCESS,2981,0
LOG100028,2026-01-01 13:24:53,user_3,10.0.1.18,LOGOUT,FAILED,1344,0
LOG100029,2026-01-01 13:48:08,user_36,10.0.1.28,LOGOUT,SUCCESS,1795,0
LOG100030,2026-01-01 14:00:42,user_22,10.0.1.19,FILE_ACCESS,SUCCESS,2255,0
LOG100031,2026-01-01 14:11:02,user_1,10.0.1.28,LOGOUT,SUCCESS,2373,0
LOG100032,2026-01-01 14:21:49,user_17,10.0.1.25,API_CALL,SUCCESS,1296,0
LOG100033,2026-01-01 15:03:59,user_20,10.0.1.26,LOGIN,SUCCESS,0,0
LOG100034,2026-01-01 15:11:16,user_25,10.0.1.13,CONFIG_CHANGE,SUCCESS,1685,0
LOG100035,2026-01-01 15:13:28,user_20,10.0.1.18,PRIVILEGE_CHANGE,FAILED,2015,0
LOG100036,2026-01-01 15:13:52,user_5,10.0.1.18,API_CALL,SUCCESS,2112,0
LOG100037,2026-01-01 15:20:39,user_23,10.0.1.27,API_CALL,SUCCESS,1105,0
LOG100038,2026-01-01 16:15:03,user_22,10.0.1.12,FILE_WRITE,FAILED,1785,0
LOG100039,2026-01-01 16:35:28,user_38,10.0.1.23,PRIVILEGE_CHANGE,FAILED,2065,0
LOG100040,2026-01-01 16:40:16,user_12,10.0.1.29,DB_QUERY,SUCCESS,2676,0
LOG100041,2026-01-01 17:14:36,user_13,10.0.1.23,PRIVILEGE_CHANGE,SUCCESS,848,0
LOG100042,2026-01-01 18:27:20,user_7,10.0.1.22,CONFIG_CHANGE,SUCCESS,2068,0
LOG100043,2026-01-01 19:47:46,user_27,10.0.1.21,CONFIG_CHANGE,SUCCESS,1138,0
LOG100044,2026-01-01 20:57:09,user_5,10.0.1.26,FILE_WRITE,SUCCESS,1601,0
LOG100045,2026-01-01 21:39:02,user_29,10.0.1.15,LOGOUT,SUCCESS,2482,0
LOG100046,2026-01-01 23:29:41,user_5,10.0.1.22,FILE_ACCESS,SUCCESS,78758,1
LOG100047,2026-01-02 05:25:07,user_2,10.0.1.15,PRIVILEGE_CHANGE,FAILED,1453,0
LOG100048,2026-01-02 06:21:43,user_36,10.0.1.28,PRIVILEGE_CHANGE,SUCCESS,1496,0
LOG100049,2026-01-02 06:59:23,user_10,10.0.1.21,LOGOUT,SUCCESS,1897,0
LOG100050,2026-01-02 07:16:36,user_25,10.0.1.15,FILE_WRITE,FAILED,2441,0
LOG100051,2026-01-02 07:23:08,user_4,10.0.1.27,PRIVILEGE_CHANGE,SUCCESS,1536,0
LOG100052,2026-01-02 07:29:37,user_4,10.0.1.7,PRIVILEGE_CHANGE,SUCCESS,4236,0
LOG100053,2026-01-02 07:44:59,user_12,10.0.1.29,DB_QUERY,SUCCESS,2028,0
LOG100054,2026-01-02 07:56:08,user_1,10.0.1.10,FILE_WRITE,SUCCESS,1047,0
LOG100055,2026-01-02 08:29:41,user_5,10.0.1.10,LOGOUT,SUCCESS,2057,0
LOG100056,2026-01-02 09:19:59,user_1,10.0.1.25,CONFIG_CHANGE,SUCCESS,2403,0
LOG100057,2026-01-02 10:19:19,user_30,10.0.1.27,LOGIN,SUCCESS,3057,0
LOG100058,2026-01-02 11:22:39,user_9,10.0.1.13,PRIVILEGE_CHANGE,FAILED,2755,0
LOG100059,2026-01-02 11:47:20,user_28,10.0.1.24,DB_QUERY,SUCCESS,2616,0
LOG100060,2026-01-02 11:49:50,user_11,10.0.1.5,PRIVILEGE_CHANGE,SUCCESS,2645,0
LOG100061,2026-01-02 12:01:00,user_36,10.0.1.6,FILE_ACCESS,SUCCESS,2983,0
LOG100062,2026-01-02 12:05:36,user_33,10.0.1.2,PRIVILEGE_CHANGE,SUCCESS,689,0
